run_id,client_id,employee_id,cost_centre,hours_worked,gross_amount,net_amount,status,reason_code
PR-202512-0001,CL-001,E001-00001,HQ-BRNO-01,,71000.0,55110.0,PAID,
PR-202512-0001,CL-001,E001-00002,HQ-BRNO-01,,98175.0,75219.5,PAID,
PR-202512-0001,CL-001,E001-00003,HQ-BRNO-01,,100100.0,76644.0,PAID,
PR-202512-0001,CL-001,E001-00004,HQ-BRNO-01,,94500.0,72500.0,PAID,
PR-202512-0001,CL-001,E001-00005,HQ-BRNO-01,,40500.0,32540.0,PAID,
PR-202512-0001,CL-001,E001-00006,HQ-BRNO-01,,68775.0,53463.5,PAID,
PR-202512-0001,CL-001,E001-00007,HQ-BRNO-01,,53500.0,42160.0,PAID,
PR-202512-0001,CL-001,E001-00008,HQ-BRNO-01,,102300.0,78272.0,PAID,
PR-202512-0001,CL-001,E001-00009,HQ-BRNO-01,,92400.0,70946.0,PAID,
PR-202512-0001,CL-001,E001-00010,HQ-BRNO-01,,93000.0,71390.0,PAID,
PR-202512-0001,CL-001,E001-00011,HQ-BRNO-01,,56100.0,44084.0,PAID,
PR-202512-0001,CL-001,E001-00012,HQ-BRNO-01,,92400.0,70946.0,PAID,
PR-202512-0001,CL-001,E001-00013,HQ-BRNO-01,,59000.0,46230.0,PAID,
PR-202512-0001,CL-001,E001-00014,HQ-BRNO-01,,56500.0,44380.0,PAID,
PR-202512-0001,CL-001,E001-00015,HQ-BRNO-01,,50400.0,39866.0,PAID,
PR-202512-0001,CL-001,E001-00016,HQ-BRNO-01,,62000.0,48450.0,PAID,
PR-202512-0001,CL-001,E001-00017,HQ-BRNO-01,,87500.0,67320.0,PAID,
PR-202512-0001,CL-001,E001-00018,HQ-BRNO-01,,59500.0,46600.0,PAID,
PR-202512-0001,CL-001,E001-00019,HQ-BRNO-01,,66150.0,51521.0,PAID,
PR-202512-0001,CL-001,E001-00020,HQ-BRNO-01,,85250.0,65655.0,PAID,
PR-202512-0001,CL-001,E001-00021,HQ-BRNO-01,,78500.0,60660.0,PAID,
PR-202512-0001,CL-001,E001-00022,HQ-BRNO-01,,100275.0,76773.5,PAID,
PR-202512-0001,CL-001,E001-00023,HQ-BRNO-01,,90500.0,69540.0,PAID,
PR-202512-0001,CL-001,E001-00024,HQ-BRNO-01,,92400.0,70946.0,PAID,
PR-202512-0001,CL-001,E001-00025,HQ-BRNO-01,,71500.0,55480.0,PAID,
PR-202512-0001,CL-001,E001-00026,HQ-BRNO-01,,59500.0,46600.0,PAID,
PR-202512-0001,CL-001,E001-00027,HQ-BRNO-01,,50000.0,39570.0,PAID,
PR-202512-0001,CL-001,E001-00028,HQ-BRNO-01,,67500.0,52520.0,PAID,
PR-202512-0001,CL-001,E001-00029,HQ-BRNO-01,,48500.0,38460.0,PAID,
PR-202512-0001,CL-001,E001-00030,HQ-BRNO-01,,67500.0,52520.0,PAID,
PR-202512-0001,CL-001,E001-00031,HQ-BRNO-01,,69000.0,53630.0,PAID,
PR-202512-0001,CL-001,E001-00032,HQ-BRNO-01,,89000.0,68430.0,PAID,
PR-202512-0001,CL-001,E001-00033,HQ-BRNO-01,,47775.0,37923.5,PAID,
PR-202512-0001,CL-001,E001-00034,HQ-BRNO-01,,90825.0,69780.5,PAID,
PR-202512-0001,CL-001,E001-00035,HQ-BRNO-01,,66000.0,51410.0,PAID,
PR-202512-0001,CL-001,E001-00036,HQ-BRNO-01,,94000.0,72130.0,PAID,
PR-202512-0001,CL-001,E001-00037,HQ-BRNO-01,,56700.0,44528.0,PAID,
PR-202512-0001,CL-001,E001-00038,HQ-BRNO-01,,61600.0,48154.0,PAID,
PR-202512-0001,CL-001,E001-00039,HQ-BRNO-01,,88000.0,67690.0,PAID,
PR-202512-0001,CL-001,E001-00040,HQ-BRNO-01,,48000.0,38090.0,PAID,
PR-202512-0001,CL-001,E001-00041,HQ-BRNO-01,,71500.0,55480.0,PAID,
PR-202512-0001,CL-001,E001-00042,HQ-BRNO-01,,79000.0,61030.0,PAID,
PR-202512-0001,CL-001,E001-00043,HQ-BRNO-01,,66500.0,51780.0,PAID,
PR-202512-0001,CL-001,E001-00044,HQ-BRNO-01,,56500.0,44380.0,PAID,
PR-202512-0001,CL-001,E001-00045,HQ-BRNO-01,,91500.0,70280.0,PAID,
PR-202512-0001,CL-001,E001-00046,HQ-BRNO-01,,94600.0,72574.0,PAID,
PR-202512-0001,CL-001,E001-00047,HQ-BRNO-01,,46500.0,36980.0,PAID,
PR-202512-0001,CL-001,E001-00048,HQ-BRNO-01,,47250.0,37535.0,PAID,
PR-202512-0001,CL-001,E001-00049,HQ-BRNO-01,,79000.0,61030.0,PAID,
PR-202512-0001,CL-001,E001-00050,HQ-BRNO-01,,48500.0,38460.0,PAID,
PR-202512-0001,CL-001,E001-00051,HQ-BRNO-01,,40000.0,32170.0,PAID,
PR-202512-0001,CL-001,E001-00052,HQ-BRNO-01,,91000.0,69910.0,PAID,
PR-202512-0001,CL-001,E001-00053,HQ-BRNO-01,,41500.0,33280.0,PAID,
PR-202512-0001,CL-001,E001-00054,HQ-BRNO-01,,70875.0,55017.5,PAID,
PR-202512-0001,CL-001,E001-00055,HQ-BRNO-01,,48000.0,38090.0,PAID,
PR-202512-0001,CL-001,E001-00056,HQ-BRNO-01,,69825.0,54240.5,PAID,
PR-202512-0001,CL-001,E001-00057,HQ-BRNO-01,,76125.0,58902.5,PAID,
