run_id,client_id,period,channel,is_correction_run,submitted_at,validated_at,approved_at,value_date,employee_count,accepted_count,rejected_count,total_gross,total_net,status
PR-202512-0001,CL-001,2025-12,sftp,False,2026-01-04 06:13:00,2026-01-04 06:14:00,2026-01-05 11:14:00,2026-01-06,1233,1233,0,51987176.75,41639320.6,COMPLETED
PR-202601-0002,CL-001,2026-01,sftp,False,2026-02-05 06:16:00,2026-02-05 06:20:00,2026-02-05 09:20:00,2026-02-07,1235,1235,0,51995398.25,41650544.89,COMPLETED
PR-202602-0003,CL-001,2026-02,sftp,False,2026-03-05 06:06:00,2026-03-05 06:10:00,2026-03-05 07:10:00,2026-03-07,1238,1238,0,52264042.94,41857051.78,COMPLETED
PR-202603-0004,CL-001,2026-03,sftp,False,2026-04-05 06:06:00,2026-04-05 06:11:00,2026-04-06 06:11:00,2026-04-07,1239,1239,0,52323124.77,41903342.42,COMPLETED
PR-202604-0005,CL-001,2026-04,sftp,False,2026-05-04 06:22:00,2026-05-04 06:27:00,2026-05-05 10:27:00,2026-05-06,1240,1240,0,52371629.5,41941805.94,COMPLETED
PR-202605-0006,CL-001,2026-05,sftp,False,2026-06-04 06:11:00,2026-06-04 06:12:00,2026-06-04 18:12:00,2026-06-06,1240,1240,0,52208183.79,41820856.17,COMPLETED
PR-202606-0007,CL-001,2026-06,sftp,False,2026-07-05 06:24:00,2026-07-05 06:28:00,2026-07-05 10:28:00,2026-07-07,1240,1240,0,52304669.63,41892255.63,COMPLETED
PR-202607-0008,CL-001,2026-07,sftp,False,2026-08-04 06:11:00,2026-08-04 06:15:00,2026-08-04 14:15:00,2026-08-06,1240,1193,47,50368422.07,40338642.53,PARTIALLY_COMPLETED
PR-202512-0009,CL-002,2025-12,sftp,False,2026-01-08 09:47:00,2026-01-08 09:53:00,2026-01-09 02:53:00,2026-01-10,209,209,0,9109059.5,7277834.03,COMPLETED
PR-202601-0010,CL-002,2026-01,sftp,False,2026-02-08 10:57:00,2026-02-08 10:58:00,2026-02-08 19:58:00,2026-02-10,209,209,0,9025127.8,7215724.62,COMPLETED
PR-202602-0011,CL-002,2026-02,sftp,False,2026-03-08 16:18:00,2026-03-08 16:24:00,2026-03-09 09:24:00,2026-03-10,209,209,0,9050446.31,7234460.28,COMPLETED
PR-202603-0012,CL-002,2026-03,sftp,False,2026-04-08 13:21:00,2026-04-08 13:26:00,2026-04-09 03:26:00,2026-04-10,209,209,0,9052864.1,7236249.47,COMPLETED
PR-202604-0013,CL-002,2026-04,sftp,False,2026-05-08 15:26:00,2026-05-08 15:32:00,2026-05-08 22:32:00,2026-05-10,210,210,0,8965100.02,7173874.05,COMPLETED
PR-202605-0014,CL-002,2026-05,sftp,False,2026-06-08 16:01:00,2026-06-08 16:07:00,2026-06-09 17:07:00,2026-06-10,210,210,0,9105772.37,7277971.58,COMPLETED
PR-202606-0015,CL-002,2026-06,sftp,False,2026-07-08 14:45:00,2026-07-08 14:48:00,2026-07-09 17:48:00,2026-07-10,210,210,0,9020674.14,7214998.83,COMPLETED
PR-202607-0016,CL-002,2026-07,sftp,False,2026-08-08 12:28:00,2026-08-08 12:31:00,2026-08-09 15:31:00,2026-08-10,210,210,0,9115474.35,7285151.02,COMPLETED
PR-202512-0017,CL-003,2025-12,web,False,2026-01-20 09:47:00,2026-01-20 09:48:00,2026-01-21 11:48:00,2026-01-22,165,165,0,6922806.45,5546926.83,COMPLETED
PR-202601-0018,CL-003,2026-01,web,False,2026-02-17 07:38:00,2026-02-17 07:43:00,2026-02-18 07:43:00,2026-02-19,165,165,0,6912275.39,5539133.77,COMPLETED
PR-202602-0019,CL-003,2026-02,web,False,2026-03-17 07:27:00,2026-03-17 07:30:00,2026-03-18 04:30:00,2026-03-19,165,165,0,6954285.69,5570221.36,COMPLETED
PR-202603-0020,CL-003,2026-03,web,False,2026-04-19 16:17:00,2026-04-19 16:18:00,2026-04-20 08:18:00,2026-04-21,165,165,0,6937420.73,5557741.38,COMPLETED
PR-202604-0021,CL-003,2026-04,web,False,2026-05-20 11:02:00,2026-05-20 11:03:00,2026-05-21 08:03:00,2026-05-22,165,165,0,6923795.24,5547658.43,COMPLETED
PR-202605-0022,CL-003,2026-05,web,False,2026-06-20 15:53:00,2026-06-20 15:57:00,2026-06-20 22:57:00,2026-06-22,165,165,0,6943049.24,5561906.48,COMPLETED
PR-202606-0023,CL-003,2026-06,web,False,2026-07-16 08:01:00,2026-07-16 08:04:00,2026-07-16 19:04:00,2026-07-18,165,165,0,6964956.01,5578117.41,COMPLETED
PR-202512-0024,CL-004,2025-12,sftp,False,2026-01-14 08:29:00,2026-01-14 08:31:00,2026-01-14 21:31:00,2026-01-16,119,119,0,8168175.0,6350279.5,COMPLETED
PR-202601-0025,CL-004,2026-01,sftp,False,2026-02-13 14:05:00,2026-02-13 14:11:00,2026-02-13 22:11:00,2026-02-15,119,119,0,8194300.0,6369612.0,COMPLETED
PR-202602-0026,CL-004,2026-02,sftp,False,2026-03-12 13:06:00,2026-03-12 13:11:00,2026-03-13 05:11:00,2026-03-14,119,119,0,8139425.0,6329004.5,COMPLETED
PR-202603-0027,CL-004,2026-03,sftp,False,2026-04-12 15:39:00,2026-04-12 15:40:00,2026-04-13 04:40:00,2026-04-14,119,119,0,8225375.0,6392607.5,COMPLETED
PR-202604-0028,CL-004,2026-04,sftp,False,2026-05-15 07:11:00,2026-05-15 07:16:00,2026-05-16 00:16:00,2026-05-17,119,119,0,8209375.0,6380767.5,COMPLETED
PR-202605-0029,CL-004,2026-05,sftp,False,2026-06-14 12:15:00,2026-06-14 12:21:00,2026-06-15 09:21:00,2026-06-16,120,120,0,8269175.0,6427589.5,COMPLETED
PR-202606-0030,CL-004,2026-06,sftp,False,2026-07-13 07:53:00,2026-07-13 07:56:00,2026-07-14 04:56:00,2026-07-15,120,120,0,8272375.0,6429957.5,COMPLETED
PR-202512-0031,CL-005,2025-12,api,False,2026-01-04 15:38:00,2026-01-04 15:40:00,2026-01-04 20:40:00,2026-01-06,278,278,0,11729897.55,9394584.2,COMPLETED
PR-202601-0032,CL-005,2026-01,api,False,2026-02-04 08:45:00,2026-02-04 08:47:00,2026-02-05 02:47:00,2026-02-06,279,279,0,11877208.84,9506164.52,COMPLETED
PR-202602-0033,CL-005,2026-02,api,False,2026-03-04 12:11:00,2026-03-04 12:14:00,2026-03-04 20:14:00,2026-03-06,279,279,0,11909131.01,9529787.0,COMPLETED
PR-202603-0034,CL-005,2026-03,api,False,2026-04-04 08:55:00,2026-04-04 09:00:00,2026-04-05 01:00:00,2026-04-06,279,279,0,11888248.01,9514333.6,COMPLETED
PR-202604-0035,CL-005,2026-04,api,False,2026-05-04 15:13:00,2026-05-04 15:18:00,2026-05-04 20:18:00,2026-05-06,279,279,0,11936161.46,9549789.46,COMPLETED
PR-202605-0036,CL-005,2026-05,api,False,2026-06-04 16:48:00,2026-06-04 16:50:00,2026-06-05 21:50:00,2026-06-06,280,280,0,11953546.39,9565224.3,COMPLETED
PR-202606-0037,CL-005,2026-06,api,False,2026-07-04 10:09:00,2026-07-04 10:12:00,2026-07-04 22:12:00,2026-07-06,280,280,0,12085480.71,9662855.81,COMPLETED
PR-202607-0038,CL-005,2026-07,api,False,2026-08-04 09:35:00,2026-08-04 09:40:00,2026-08-05 04:40:00,2026-08-06,280,277,3,11775667.07,9425883.65,PARTIALLY_COMPLETED
PR-202512-0039,CL-006,2025-12,api,False,2026-01-09 13:03:00,2026-01-09 13:08:00,2026-01-10 06:08:00,2026-01-11,289,289,0,12373705.95,9899272.45,COMPLETED
PR-202601-0040,CL-006,2026-01,api,False,2026-02-09 16:40:00,2026-02-09 16:41:00,2026-02-10 16:41:00,2026-02-11,290,290,0,12223730.05,9790860.22,COMPLETED
PR-202602-0041,CL-006,2026-02,api,False,2026-03-09 07:20:00,2026-03-09 07:25:00,2026-03-10 07:25:00,2026-03-11,290,290,0,12289055.92,9839201.37,COMPLETED
PR-202603-0042,CL-006,2026-03,api,False,2026-04-09 16:01:00,2026-04-09 16:05:00,2026-04-10 01:05:00,2026-04-11,290,290,0,12355411.67,9888304.71,COMPLETED
PR-202604-0043,CL-006,2026-04,api,False,2026-05-09 16:52:00,2026-05-09 16:54:00,2026-05-09 21:54:00,2026-05-11,290,290,0,12352621.86,9886240.24,COMPLETED
PR-202605-0044,CL-006,2026-05,api,False,2026-06-09 10:59:00,2026-06-09 11:05:00,2026-06-10 04:05:00,2026-06-11,290,290,0,12374970.61,9902778.28,COMPLETED
PR-202606-0045,CL-006,2026-06,api,False,2026-07-09 11:06:00,2026-07-09 11:12:00,2026-07-10 11:12:00,2026-07-11,290,290,0,12321344.36,9863094.82,COMPLETED
PR-202607-0046,CL-006,2026-07,api,False,2026-08-09 10:44:00,2026-08-09 10:49:00,2026-08-10 08:49:00,2026-08-11,290,290,0,12431872.66,9944885.82,COMPLETED
PR-202512-0047,CL-007,2025-12,web,False,2026-01-09 15:27:00,2026-01-09 15:32:00,2026-01-10 03:32:00,2026-01-11,83,83,0,3715870.34,2963054.05,COMPLETED
