day,service,uptime_pct,unavailable_minutes,planned_maintenance_minutes,avg_latency_ms,error_rate_pct
2026-02-10,web,100.0,0,0,138,0.076
2026-02-10,sftp,100.0,0,0,157,0.032
2026-02-10,api,100.0,0,0,118,0.036
2026-02-10,payroll_engine,100.0,0,0,97,0.035
2026-02-11,web,100.0,0,0,224,0.049
2026-02-11,sftp,100.0,0,0,246,0.089
2026-02-11,api,100.0,0,0,132,0.032
2026-02-11,payroll_engine,100.0,0,0,182,0.078
2026-02-12,web,100.0,0,0,123,0.043
2026-02-12,sftp,100.0,0,0,137,0.068
2026-02-12,api,100.0,0,0,146,0.084
2026-02-12,payroll_engine,100.0,0,0,154,0.058
2026-02-13,web,100.0,0,0,193,0.075
2026-02-13,sftp,100.0,0,0,197,0.024
2026-02-13,api,100.0,0,0,244,0.068
2026-02-13,payroll_engine,100.0,0,0,99,0.035
2026-02-14,web,100.0,0,0,207,0.064
2026-02-14,sftp,100.0,0,0,213,0.079
2026-02-14,api,100.0,0,0,107,0.04
2026-02-14,payroll_engine,100.0,0,0,206,0.071
2026-02-15,web,100.0,0,0,185,0.022
2026-02-15,sftp,100.0,0,0,131,0.059
2026-02-15,api,100.0,0,0,198,0.018
2026-02-15,payroll_engine,100.0,0,0,221,0.066
2026-02-16,web,100.0,0,0,135,0.023
2026-02-16,sftp,100.0,0,0,168,0.049
2026-02-16,api,100.0,0,0,97,0.073
2026-02-16,payroll_engine,100.0,0,0,165,0.056
2026-02-17,web,100.0,0,0,132,0.027
2026-02-17,sftp,100.0,0,0,164,0.015
2026-02-17,api,100.0,0,0,158,0.074
2026-02-17,payroll_engine,100.0,0,0,108,0.049
2026-02-18,web,100.0,0,0,168,0.031
2026-02-18,sftp,100.0,0,0,212,0.064
2026-02-18,api,100.0,0,0,123,0.039
2026-02-18,payroll_engine,100.0,0,0,190,0.044
2026-02-19,web,100.0,0,0,130,0.053
2026-02-19,sftp,100.0,0,0,188,0.088
2026-02-19,api,100.0,0,0,153,0.087
2026-02-19,payroll_engine,100.0,0,0,216,0.034
2026-02-20,web,100.0,0,0,156,0.058
2026-02-20,sftp,100.0,0,0,159,0.028
2026-02-20,api,100.0,0,0,195,0.056
2026-02-20,payroll_engine,100.0,0,0,142,0.015
2026-02-21,web,100.0,0,0,111,0.011
2026-02-21,sftp,100.0,0,0,252,0.016
2026-02-21,api,100.0,0,0,185,0.045
2026-02-21,payroll_engine,100.0,0,0,215,0.062
2026-02-22,web,100.0,0,0,123,0.06
2026-02-22,sftp,100.0,0,0,206,0.079
2026-02-22,api,100.0,0,0,208,0.049
2026-02-22,payroll_engine,100.0,0,0,155,0.059
2026-02-23,web,100.0,0,0,216,0.039
2026-02-23,sftp,100.0,0,0,118,0.056
2026-02-23,api,100.0,0,0,175,0.056
2026-02-23,payroll_engine,100.0,0,0,172,0.012
2026-02-24,web,100.0,0,0,255,0.042
2026-02-24,sftp,100.0,0,0,205,0.047
2026-02-24,api,100.0,0,0,211,0.011
